date,negative,positive
2017-10-01,64,56
2017-10-02,107,114
2017-10-03,85,106
2017-10-04,88,174
2017-10-05,41,56
2017-10-06,50,52
2017-10-07,13,32
2017-10-08,26,28
2017-10-09,36,67
2017-10-10,38,87
2017-10-11,26,62
2017-10-12,19,13
2017-10-13,61,96
2017-10-14,16,10
2017-10-15,26,42
2017-10-16,56,58
2017-10-17,55,85
2017-10-18,70,84
2017-10-19,139,123
2017-10-20,45,90
2017-10-22,14,37
2017-10-23,43,60
2017-10-24,100,112
2017-10-25,54,62
2017-10-26,62,56
2017-10-27,125,248
2017-10-28,8,19
2017-10-29,48,45
2017-10-30,20,58
2017-10-31,37,75
2017-11-01,47,75
2017-11-02,32,47
2017-11-03,96,127
2017-11-04,7,10
2017-11-05,26,28
2017-11-06,13,34
2017-11-07,42,80
2017-11-08,79,91
2017-11-09,18,37
2017-11-10,21,24
2017-11-12,51,64
2017-11-13,28,41
2017-11-14,79,94
2017-11-15,67,102
2017-11-16,18,36
2017-11-17,33,44
2017-11-18,3,8
2017-11-19,30,21
2017-11-20,28,32
2017-11-21,27,32
2017-11-22,82,149
2017-11-23,62,80
2017-11-24,8,13
2017-11-26,22,34
2017-11-27,58,108
2017-11-28,109,112
2017-11-29,53,112
2017-11-30,41,71
2017-12-01,54,47
2017-12-03,6,8
2017-12-04,65,90
2017-12-05,115,156
2017-12-06,27,64
2017-12-07,27,23
2017-12-08,31,53
2017-12-09,21,28
2017-12-10,24,36
2017-12-11,52,73
2017-12-12,29,51
2017-12-13,14,26
2017-12-14,72,137
2017-12-15,41,67
2017-12-16,20,52
2017-12-17,7,15
2017-12-18,112,178
2017-12-19,53,80
2017-12-20,54,58
2017-12-21,60,66
2017-12-22,37,94
2017-12-24,29,42
2017-12-25,17,14
2017-12-26,35,56
2017-12-27,147,248
2017-12-28,71,112
2017-12-29,160,329
2017-12-30,23,28
2017-12-31,55,140
2018-01-01,59,99
2018-01-02,46,60
2018-01-03,33,32
2018-01-04,100,134
2018-01-05,57,106
2018-01-06,50,68
2018-01-07,75,125
2018-01-08,73,129
2018-01-09,88,111
2018-01-10,59,79
2018-01-11,164,208
2018-01-12,349,514
2018-01-13,300,439
2018-01-14,529,716
2018-01-15,386,798
2018-01-16,1393,2331
2018-01-17,975,1527
